date,gz_spr,baa_aaa,cp_treas1mo,dd_wp25,dd_wp50,dd_wp75,dd_wp50_all,gz_spr_p,gz_spr_oa_p,ebp,xmktret,cds1yr_bd_avg,cds5yr_bd_avg,sp500vix,xret_bd,termspr,ffr_r,empl,uerate,ipm
MAR1978,0.6320,0.7500,0.0400,5.8054,9.0126,16.0780,7.1978,0.8610,0.8574,-0.2290,,,,,,-1.4068,0.8722,69730.00,6.3000,43.0885
APR1978,0.6492,0.7600,0.5100,6.7049,9.1585,16.4178,7.6704,0.8182,0.8285,-0.1690,,,,,,-1.6002,1.0265,70366.00,6.1000,43.7523
MAY1978,0.6854,0.8000,0.5800,6.4575,9.6869,14.7497,7.5309,0.8151,0.8372,-0.1297,,,,,,-1.4370,1.0556,70675.00,6.0000,43.9326
JUN1978,0.5509,0.8400,1.0600,6.3910,8.4293,14.9104,7.2795,0.9182,0.8924,-0.3673,,,,,,-1.3208,1.5575,71099.00,5.9000,44.2887
JUL1978,0.5670,0.7200,0.9900,6.2970,8.9447,14.4436,7.4764,0.8360,0.8659,-0.2690,,,,,,-1.5097,1.5845,71304.00,6.2000,44.2599
AUG1978,0.5446,0.7900,0.2100,5.6188,7.8829,9.3662,7.5960,0.8550,0.8666,-0.3104,,,,,,-0.5684,2.0181,71590.00,5.9000,44.5176
SEP1978,0.5746,0.7300,0.3900,7.0158,9.3613,15.3168,7.4858,0.8232,0.8347,-0.2486,,,,,,-0.1922,2.4689,71799.00,6.0000,44.7596
OCT1978,0.5235,0.7000,0.3200,5.1977,6.5796,7.8108,6.5099,0.9963,0.9897,-0.4728,,,,,,0.1323,2.7694,72096.00,5.8000,45.1014
NOV1978,0.5875,0.8000,0.8100,5.7933,8.5823,14.3327,6.7571,0.8256,0.9000,-0.2381,,,,,,0.5782,3.1171,72497.00,5.9000,45.5114
DEC1978,0.5940,0.7800,1.6600,5.7060,8.3903,14.7070,6.6596,0.9829,0.9883,-0.3889,,,,,,0.4989,4.0034,72763.00,6.0000,45.8646
JAN1979,0.6241,0.8800,0.1900,5.9162,8.5458,14.8999,6.8504,0.8866,0.9255,-0.2625,,,,,,0.8150,3.8682,72874.00,5.9000,45.4699
FEB1979,0.5922,0.8200,0.1500,5.8490,9.2594,14.3319,6.8703,0.9171,0.9387,-0.3249,,,,,,0.7367,3.6425,73107.00,5.9000,45.6548
MAR1979,0.6114,0.8900,-0.1600,6.5299,9.8038,14.6618,7.1301,0.7293,0.8852,-0.1179,,,,,,0.7712,3.5447,73524.00,5.8000,45.8601
APR1979,0.5948,0.9500,0.0800,6.4100,8.8069,13.5934,7.0419,0.7926,0.8820,-0.1978,,,,,,0.7280,3.8773,73441.00,5.8000,45.1486
MAY1979,0.6397,0.9700,0.2300,6.0495,8.4789,13.0334,6.8507,0.9279,0.9364,-0.2882,,,,,,1.0114,3.4895,73800.00,5.6000,45.7058
JUN1979,0.6463,1.0900,0.6100,6.3161,9.2252,13.9654,7.2404,0.8291,0.8647,-0.1829,,,,,,0.6241,3.4447,74063.00,5.7000,45.7791
JUL1979,0.6159,1.0900,0.8500,5.6256,7.0682,9.0986,7.2013,0.8558,0.8888,-0.2399,,,,,,0.6461,3.7140,74064.00,5.7000,45.8034
AUG1979,0.5349,1.1200,0.7900,5.3733,7.1610,8.6639,7.3203,0.8619,0.9051,-0.3270,,,,,,1.0521,4.2873,74067.00,6.0000,45.1883
SEP1979,0.6811,1.1000,0.9700,5.4051,7.0292,8.6208,7.0808,0.7641,0.9146,-0.0830,,,,,,1.1750,5.0361,74195.00,5.9000,45.3247
