year,month,logip,logcpi,gs1,ff,gs2,cm5yr,cm10yr,cm5f5,ebp,mortg_spread_m,cp3m_spread_m
1999,2,447.764358560095,510.412563718359,4.7,4.76,4.88526614471153,4.9850000212381,5.33796249780505,5.690924974372,-0.152909087448818,1.46953750219495,0.376842105263156
1999,3,447.99096382904,510.473261747537,4.78,4.81,5.04537351572309,5.21748734946656,5.57602753228218,5.93456771509779,-0.143869246815543,1.46397246771782,0.396086956521738
1999,4,448.22056243819,511.13851971964,4.69,4.74,4.95167907533405,5.10236130248509,5.49625679798771,5.89015229349033,-0.184307782698919,1.41974320201229,0.51409090909091
1999,5,448.850827164029,511.198778835654,4.85,4.74,5.21110041836358,5.46667973931895,5.81320634755205,6.15973295578516,-0.181261791822857,1.33179365244795,0.331499999999999
1999,6,448.772359372828,511.198778835654,5.1,4.76,5.5748712226575,5.86386550293186,6.15632048627209,6.44877546961232,-0.118565418509066,1.39367951372791,0.468636363636364
1999,7,449.349309604629,511.619578975675,5.03,4.99,5.49096712714942,5.73655486963016,6.08200177601142,6.42744868239268,-0.0698573333354595,1.54999822398858,0.589999999999999
1999,8,449.750033920992,511.859243560135,5.2,5.07,5.63861566679436,5.91419201231182,6.26376140073768,6.61333078916355,-0.00993097020672939,1.67873859926232,0.561363636363635
1999,9,449.345507816446,512.277279403311,5.25,5.22,5.62212256874133,5.85797186684443,6.29714736672324,6.73632286660205,0.122428731375987,1.52535263327676,0.644285714285714
1999,10,450.560396206326,512.455904041457,5.43,5.2,5.81766658946035,6.06941468592635,6.4945208065691,6.91962692721185,0.136760916924799,1.3574791934309,1.0655
1999,11,451.043963816469,512.634210180823,5.55,5.42,5.8092321326652,5.96146637385715,6.31026731438975,6.65906825492235,0.101591829605656,1.42723268561025,0.781
1999,12,451.812317199984,512.871458216186,5.84,5.3,6.04486447082036,6.16710402686445,6.53804936817418,6.90899470948391,-0.126443908867831,1.37395063182582,0.729999999999999
2000,1,451.675418661452,513.167228913909,6.12,5.45,6.36005386741135,6.5248230086618,6.76773598438325,7.0106489601047,0.0574088927662872,1.44226401561675,0.492500000000001
2000,2,451.987261232551,513.579843705026,6.22,5.73,6.5198198381291,6.6056114156179,6.59682325721905,6.5880350988202,0.147279463809769,1.72817674278095,0.353500000000001
2000,3,452.342202485519,514.166355650266,6.22,5.85,6.44539155770648,6.42018709763091,6.39544865517969,6.37071021272848,0.412751767437712,1.84455134482031,0.33304347826087
2000,4,452.935660626624,514.107859012154,6.15,6.02,6.30655623565647,6.18049766248105,6.157953294067,6.13540892565295,0.570030951183665,1.994546705933,0.488947368421052
2000,5,453.206063831964,514.283246370764,6.33,6.27,6.72461365757868,6.60366155835118,6.54772243334777,6.49178330834436,0.751502786147321,1.96727756665223,0.782727272727275
2000,6,453.245109504603,514.865659199363,6.17,6.53,6.44117050815096,6.25276480209809,6.22047190068214,6.18817899926618,0.795601338041064,2.06752809931786,0.90227272727273
2000,7,453.049836259244,515.155598515263,6.08,6.54,6.3011316977516,6.14310195151585,6.13522002577825,6.12733810004065,0.875245138118844,2.01227997422175,0.579999999999998
2000,8,452.777172919968,515.155598515263,6.18,6.5,6.188246181416,5.98317219194539,5.95592061961196,5.92866904727852,1.02736763147502,2.07157938038804,0.397391304347825
2000,9,453.237581222456,515.675380222625,6.13,6.52,6.01325615512855,5.86012193114015,5.98593786789835,6.11175380465655,1.13395319167746,1.92606213210165,0.4725
2000,10,452.848242750686,515.848042136024,6.01,6.51,5.88296296197152,5.70972598560657,5.88872469708962,6.06772340857267,1.52517173222126,1.90627530291038,0.416190476190477
2000,11,452.87620319817,516.02040644184,6.09,6.51,5.84418143819786,5.67416512359614,5.82664121411266,5.97911730462919,1.60809207444768,1.91835878588734,0.345714285714283
2000,12,452.549366126139,516.24976434055,5.6,6.4,5.3543504560113,5.17774939911335,5.41290054177035,5.64805168442735,1.60712290999357,1.96909945822965,0.562499999999999
2001,1,452.072279191047,516.820868120102,4.81,5.98,4.80407164933824,4.96658037646243,5.37962532971733,5.79267028297224,1.15281417711261,1.65287467028267,0.367619047619049
2001,2,451.41880267761,517.048399503815,4.68,5.49,4.68987618898437,4.93456377256029,5.35081081279063,5.76705785302096,1.18238198819516,1.69918918720937,0.31157894736842
2001,3,451.213561502086,517.105201550216,4.3,5.31,4.36549793903146,4.69483652763405,5.19550535363091,5.69617417962777,1.11255260854392,1.75649464636909,0.387727272727274
2001,4,450.853923434852,517.275414357269,3.98,4.8,4.24451114781955,4.78723168489995,5.4408014363579,6.09437118781585,0.925613522584901,1.6366985636421,0.601999999999999
2001,5,450.375188956289,517.784321308016,3.78,4.21,4.29851612608855,5.00038104960264,5.64662079516304,6.29286054072345,0.782042956005138,1.49837920483696,0.343181818181819
2001,6,449.845764564555,518.009673516061,3.58,3.97,4.14789300866024,4.902354403509,5.55962199301452,6.21688958252005,1.02196252888016,1.60037800698548,0.201904761904762
2001,7,449.20328423741,517.840706987548,3.62,3.77,4.0756035370821,4.84016333249019,5.49673458827486,6.15330584405952,0.79024555517134,1.63076541172514,0.101904761904763
2001,8,449.088440280901,517.840706987548,3.47,3.65,3.7895985462807,4.59459514123822,5.30260861654796,6.0106220918577,0.769709518428134,1.64739138345204,0.0765217391304343
2001,9,448.580652680424,518.234519029562,2.82,3.07,3.17127647058823,4.18729411764706,5.15455882352941,6.12182352941177,1.23391105429432,1.66294117647059,0.202904411764707
